,city,highest_grade,lowest_grade,phone_number,postal_code,school_id,school_level,school_name,school_url,state,state_school_id,street_address
0,Nashville,8,5,(615)291-6385,37210,100,Middle School,Margaret Allen Middle,http://schools.mnps.org/margaret-allen-middle-prep,TN,450,500 Spence Lane
1,Madison,4,P3,(615)612-3678,37115,105,Elementary School,Amqui Elementary,http://schools.mnps.org/amqui-elementary-school,TN,10,319 Anderson Lane
2,Antioch,12,7,(615)641-5400,37013,110,High School,Antioch High School,http://schools.mnps.org/antioch-high-school,TN,20,1900 Hobson Pike
3,Antioch,8,5,(615)312-6197,37013,111,Middle School,Antioch Middle,http://schools.mnps.org/antioch-middle-prep,TN,23,5050 Blue Hole Road
4,Nashville,12,7,(615)298-3278,37209,114,Adult,W. A. Bass Adult Program,http://schools.mnps.org/wa-bass-learning-center,TN,125,5200 Delaware Avenue
5,Nashville,12,8,(615)298-3278,37209,116,Alternative Learning Center,W.A. Bass Alternative Learning Center,http://schools.mnps.org/wa-bass-learning-center,TN,126,5200 Delaware Avenue
6,Nashville,12,9,(615)298-3278,37209,117,Alternative Learning Center,Transitions at Bass,http://schools.mnps.org/wa-bass-learning-center,TN,725,5200 Delaware Avenue
7,Nashville,8,5,(615)293-5342,37207,118,Charter,Brick Church College Prep,http://www.brickchurchcollegeprep.org/,TN,118,2835 Brick Church Pike
8,Nashville,8,5,(615)262-6710,37207,120,Middle School,Jere Baxter Middle,http://schools.mnps.org/jere-baxter-middle-prep,TN,375,350 Hart Lane
9,Nashville,4,P3,(615)360-2912,37217,122,Elementary School,Lakeview Elementary,http://schools.mnps.org/lakeview-elementary-design-center,TN,430,455 Rural Hill Road
10,Nashville,8,5,(615)662-3000,37221,130,Middle School,Bellevue Middle,http://schools.mnps.org/bellevue-middle-prep,TN,40,655 Colice Jeanne Road
11,Nashville,4,P3,(615)860-1452,37207,135,Elementary School,Bellshire Elementary,http://schools.mnps.org/bellshire-design-center,TN,45,1128 Bell Grimes Lane
