,city,school_id,postal_code
0,Nashville,100,37210
1,Madison,105,37115
2,Antioch,110,37013
3,Antioch,111,37013
4,Nashville,114,37209
5,Nashville,116,37209
6,Nashville,117,37209
7,Nashville,118,37207
8,Nashville,120,37207
9,Nashville,122,37217
10,Nashville,130,37221
11,Nashville,135,37207
12,Nashville,142,37209
13,Nashville,145,37211
14,Nashville,165,37208
15,Nashville,175,37207
16,Nashville,181,37210
17,Antioch,182,37013
18,Antioch,184,37013
19,Nashville,185,37203
20,Madison,200,37115
21,Nashville,503,37207
22,Nashville,205,37209
23,Nashville,211,37209
24,Nashville,215,37209
25,Antioch,225,37013
26,Nashville,230,37206
27,Nashville,235,37220
28,Nashville,238,37211
29,Nashville,240,37218
30,Nashville,242,37210
31,Hermitage,252,37076
32,Nashville,260,37214
33,Old Hickory,265,37138
34,Old Hickory,270,37138
35,Hermitage,275,37076
36,Nashville,280,37212
37,Nashville,285,37208
38,Nashville,286,37216
39,Nashville,290,37206
40,Nashville,296,37206
41,Nashville,305,37206
42,Nashville,308,37203
43,Antioch,310,37013
44,Madison,315,37115
45,Nashville,320,37211
46,Nashville,325,37211
47,Nashville,330,37204
48,Nashville,335,37217
49,Nashville,340,37207
50,Nashville,345,37217
51,Goodlettsville,350,37072
52,Goodlettsville,355,37072
53,Nashville,360,37209
54,Nashville,365,37216
55,Brentwood,370,37027
56,Whites Creek,375,37189
57,Nashville,380,37215
58,Nashville,395,37221
59,Nashville,397,37212
60,Nashville,400,37207
61,Nashville,405,37211
62,Nashville,410,37203
63,Hermitage,415,37076
64,Nashville,420,37214
65,Nashville,504,37207
66,Antioch,422,37013
67,Nashville,434,37205
68,Nashville,435,37215
69,Nashville,440,37205
70,Nashville,448,37206
71,Nashville,450,37203
72,Nashville,451,37208
73,Nashville,452,37207
74,Nashville,455,37216
75,Antioch,457,37013
76,Old Hickory,460,37138
77,Joelton,465,37080
78,Joelton,470,37080
79,Nashville,480,37210
80,Nashville,485,37208
81,Nashville,495,37207
82,Antioch,496,37013
83,Nashville,497,37203
84,Antioch,498,37013
85,Nashville,499,37206
86,Nashville,500,37218
87,Nashville,502,37207
88,Nashville,505,37206
89,Antioch,506,37013
90,Nashville,507,37211
91,Nashville,508,37208
92,Nashville,510,37216
93,Antioch,511,37013
94,Antioch,512,37013
95,Nashville,517,37216
96,Nashville,520,37206
97,Hermitage,522,37076
98,Nashville,530,37214
99,Nashville,532,37214
100,Nashville,535,37209
101,Nashville,540,37211
102,Madison,545,37115
103,Nashville,550,37216
104,Antioch,551,37013
105,Antioch,552,37013
106,Nashville,555,37206
107,Nashville,560,37216
108,Nashville,562,37209
109,Nashville,563,37204
110,Antioch,575,37013
111,Antioch,576,37013
112,Antioch,577,37013
113,Nashville,585,37210
114,Nashville,589,37207
115,Nashville,590,37210
116,Nashville,592,37206
117,Nashville,594,37209
118,Madison,595,37115
119,Madison,600,37115
120,Madison,601,37115
121,Nashville,605,37217
122,Goodlettsville,610,37072
123,Nashville,612,37211
124,Nashville,613,37214
125,Nashville,615,37220
126,Nashville,618,37211
127,Nashville,620,37209
128,Nashville,632,37208
129,Nashville,640,37214
130,Nashville,650,37215
131,Nashville,652,37228
132,Nashville,660,37207
133,Nashville,665,37220
134,Nashville,667,37207
135,Nashville,668,37217
136,Nashville,670,37206
137,Nashville,675,37203
138,Nashville,682,37211
139,Nashville,685,37207
140,Antioch,686,37013
141,Nashville,687,37115
142,Nashville,690,37214
143,Nashville,695,37210
144,Nashville,696,37210
145,Nashville,705,37216
146,Madison,710,37115
147,Nashville,712,37214
148,Nashville,715,37209
149,Hermitage,717,37076
150,Nashville,718,37209
151,Nashville,725,37211
152,Nashville,730,37214
153,Nashville,735,37217
154,Nashville,743,37211
155,Nashville,744,37211
156,Nashville,748,37209
157,Nashville,755,37206
158,Nashville,765,37204
159,Nashville,770,37205
160,Nashville,775,37205
161,Nashville,783,37218
162,Nashville,784,37208
163,Whites Creek,787,37189
164,Nashville,790,37210
165,Nashville,805,37211
